[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:15:15] STEPS: 116115 | P_LOSS: 0.0027 | V_LOSS: 1.9381 | ENT: 0.0179 | REWARD: -0.25
[07:15:18] STEPS: 117143 | P_LOSS: 0.0125 | V_LOSS: 1.9740 | ENT: 0.0179 | REWARD: -0.41
[07:15:22] STEPS: 118171 | P_LOSS: 0.0061 | V_LOSS: 1.5423 | ENT: 0.0179 | REWARD: -0.64
[07:15:25] STEPS: 119198 | P_LOSS: 0.0059 | V_LOSS: 1.9911 | ENT: 0.0179 | REWARD: 0.32
[07:15:28] STEPS: 120222 | P_LOSS: 0.0039 | V_LOSS: 1.9469 | ENT: 0.0178 | REWARD: -0.12
[07:15:31] STEPS: 121251 | P_LOSS: 0.0050 | V_LOSS: 1.7565 | ENT: 0.0178 | REWARD: -0.83
[07:15:34] STEPS: 122277 | P_LOSS: 0.0072 | V_LOSS: 1.8921 | ENT: 0.0178 | REWARD: -0.18
[07:15:37] STEPS: 123301 | P_LOSS: 0.0034 | V_LOSS: 2.1087 | ENT: 0.0178 | REWARD: 0.03
[07:15:40] STEPS: 124325 | P_LOSS: 0.0065 | V_LOSS: 2.2283 | ENT: 0.0178 | REWARD: -0.33
[07:15:43] STEPS: 125352 | P_LOSS: 0.0089 | V_LOSS: 1.8365 | ENT: 0.0177 | REWARD: -0.43
[07:15:46] STEPS: 126381 | P_LOSS: 0.0067 | V_LOSS: 1.9936 | ENT: 0.0177 | REWARD: -0.82
[07:15:49] STEPS: 127409 | P_LOSS: 0.0040 | V_LOSS: 1.8987 | ENT: 0.0177 | REWARD: -0.25
[07:15:52] STEPS: 128440 | P_LOSS: 0.0025 | V_LOSS: 1.9787 | ENT: 0.0177 | REWARD: 0.15
[07:15:55] STEPS: 129472 | P_LOSS: 0.0064 | V_LOSS: 1.9615 | ENT: 0.0177 | REWARD: -0.01
[07:15:58] STEPS: 130500 | P_LOSS: 0.0056 | V_LOSS: 1.5856 | ENT: 0.0177 | REWARD: -0.65
[07:16:01] STEPS: 131524 | P_LOSS: 0.0054 | V_LOSS: 1.8854 | ENT: 0.0176 | REWARD: -0.89
